Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id,gdp_norm,social_norm,life_norm,free_norm,gen_norm,corruption_norm,Country_bias
Venezuela,44,6.084,1.1337,1.033,0.619,0.1985,0.0425,0.083,2016,862,-0.504,-0.001,-0.944,-0.58,-0.764,-0.631,11.791
Venezuela,82,5.25,1.1284,1.4313,0.6171,0.154,0.065,0.0645,2017,862,-0.506,0.384,-0.944,-0.674,-0.638,-0.714,10.403
Algeria,100,5.0051,9.538,0.8034,65.9052,0.4666,-0.1211,0.7355,2020,12,3.176,-0.223,4.967,-0.012,-1.674,2.266,-9.162
Algeria,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,12,-0.561,0.121,-0.929,-0.818,-0.594,-0.494,10.669
Algeria,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018,12,-0.571,0.116,-0.938,-0.837,-0.694,-0.4,10.835
Algeria,68,5.605,0.9393,1.0777,0.6177,0.2858,0.0782,0.1738,2015,12,-0.589,0.042,-0.944,-0.395,-0.565,-0.228,10.07
Algeria,38,6.355,1.0527,0.8331,0.618,0.2101,0.0704,0.1616,2016,12,-0.539,-0.195,-0.944,-0.555,-0.608,-0.282,11.56
Algeria,53,5.872,1.0919,1.1462,0.6176,0.2333,0.0694,0.1461,2017,12,-0.522,0.108,-0.944,-0.506,-0.614,-0.351,10.587
Senegal,101,4.9808,8.119,0.7236,59.5992,0.6906,-0.0523,0.8088,2020,686,2.555,-0.3,4.396,0.463,-1.291,2.592,-9.044
Senegal,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019,686,-0.803,0.096,-0.948,-0.382,-0.149,-0.68,9.458
Senegal,109,4.631,0.429,1.117,0.433,0.406,0.138,0.082,2018,686,-0.812,0.08,-0.961,-0.14,-0.232,-0.636,9.133
Senegal,142,3.904,0.365,0.9762,0.4354,0.3677,0.2084,0.1071,2015,686,-0.84,-0.056,-0.961,-0.221,0.159,-0.524,7.976
