Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id,gdp_norm,social_norm,life_norm,free_norm,gen_norm,corruption_norm,Country_bias
Ukraine,111,4.681,0.7991,1.2028,0.6739,0.2512,0.1528,0.0296,2015,804,-0.65,0.163,-0.939,-0.468,-0.15,-0.869,9.536
Ukraine,123,4.324,0.8729,1.0141,0.5863,0.1286,0.2036,0.0183,2016,804,-0.618,-0.02,-0.947,-0.728,0.133,-0.919,9.489
Ukraine,132,4.096,0.8947,1.3945,0.5759,0.123,0.2701,0.023,2017,804,-0.608,0.348,-0.948,-0.739,0.502,-0.898,8.001
Liberia,124,4.5579,7.0544,0.7093,56.0963,0.7353,0.0423,0.8564,2020,430,2.088,-0.314,4.079,0.557,-0.765,2.803,-9.522
Liberia,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,2019,430,-0.968,-0.109,-0.96,-0.216,0.296,-0.853,8.658
Liberia,149,3.495,0.076,0.858,0.267,0.419,0.206,0.03,2018,430,-0.967,-0.171,-0.976,-0.113,0.146,-0.867,8.408
Liberia,116,4.571,0.0712,0.7897,0.342,0.2853,0.2436,0.0623,2015,430,-0.969,-0.237,-0.969,-0.396,0.355,-0.723,9.469
Liberia,150,3.622,0.1071,0.5035,0.2316,0.2575,0.2406,0.0485,2016,430,-0.953,-0.513,-0.979,-0.455,0.338,-0.785,9.2
Liberia,148,3.533,0.119,0.8721,0.2299,0.3329,0.2665,0.0389,2017,430,-0.948,-0.157,-0.979,-0.295,0.482,-0.827,8.073
Palestinian Territories,125,4.5528,8.3892,0.8253,62.25,0.6458,-0.1621,0.8242,2020,275,2.673,-0.202,4.636,0.368,-1.902,2.66,-9.169
Palestinian Territories,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066,2019,275,-0.712,0.205,-0.939,-0.523,-0.427,-0.707,9.868
Palestinian Territories,104,4.743,0.642,1.217,0.602,0.266,0.086,0.076,2018,275,-0.719,0.176,-0.945,-0.437,-0.522,-0.662,9.925
Palestinian Territories,108,4.715,0.5987,0.9256,0.6602,0.245,0.1125,0.129,2015,275,-0.738,-0.105,-0.94,-0.481,-0.374,-0.427,9.823
Palestinian Territories,108,4.754,0.6702,0.7163,0.5684,0.1774,0.1115,0.1061,2016,275,-0.707,-0.308,-0.949,-0.624,-0.38,-0.529,10.582
Palestinian Territories,103,4.775,0.7162,1.1556,0.5657,0.2547,0.1142,0.0893,2017,275,-0.686,0.117,-0.949,-0.461,-0.365,-0.603,9.687
Uganda,126,4.432,7.5004,0.765,55.7082,0.7317,0.0995,0.8367,2020,800,2.284,-0.26,4.044,0.55,-0.447,2.716,-10.38
Uganda,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06,2019,800,-0.855,0.033,-0.96,-0.246,0.402,-0.734,8.122
Uganda,135,4.161,0.322,1.09,0.237,0.45,0.259,0.061,2018,800,-0.859,0.054,-0.979,-0.047,0.441,-0.729,7.693
Uganda,141,3.931,0.211,1.133,0.3386,0.4573,0.2907,0.0727,2015,800,-0.908,0.095,-0.969,-0.031,0.617,-0.677,7.053
Uganda,145,3.739,0.3472,0.9098,0.1962,0.4365,0.271,0.0644,2016,800,-0.848,-0.12,-0.982,-0.075,0.507,-0.714,7.459
Uganda,133,4.081,0.3814,1.1298,0.2176,0.4432,0.3258,0.0571,2017,800,-0.833,0.092,-0.98,-0.061,0.812,-0.746,6.941
Chad,127,4.4227,7.468,0.6324,48.2205,0.5873,0.0178,0.8028,2020,148,2.27,-0.389,3.366,0.244,-0.901,2.565,-7.502
Chad,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2019,148,-0.847,-0.26,-0.983,-0.631,0.101,-0.654,9.807
Chad,131,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2018,148,-0.843,-0.123,-0.995,-0.6,0.007,-0.734,9.781
Chad,149,3.667,0.3419,0.7606,0.1501,0.235,0.1839,0.0527,2015,148,-0.85,-0.265,-0.986,-0.502,0.023,-0.766,9.244
Chad,144,3.763,0.4221,0.6318,0.0382,0.1281,0.1867,0.0495,2016,148,-0.815,-0.389,-0.997,-0.729,0.039,-0.78,9.881
Chad,137,3.936,0.438,0.9539,0.0411,0.1623,0.2161,0.0536,2017,148,-0.808,-0.078,-0.996,-0.656,0.202,-0.762,9.099
Tunisia,128,4.3922,9.315,0.6887,66.8979,0.5934,-0.2164,0.8676,2020,788,3.078,-0.334,5.057,0.257,-2.204,2.853,-10.119
Tunisia,124,4.461,0.921,1.0,0.815,0.167,0.059,0.055,2019,788,-0.597,-0.033,-0.926,-0.646,-0.672,-0.756,10.511
Tunisia,111,4.592,0.9,0.906,0.69,0.271,0.04,0.063,2018,788,-0.606,-0.124,-0.938,-0.426,-0.777,-0.72,10.577
Tunisia,107,4.739,0.8811,0.6043,0.7379,0.2627,0.0643,0.0636,2015,788,-0.614,-0.416,-0.933,-0.444,-0.642,-0.718,11.017
Tunisia,98,5.045,0.9772,0.4316,0.5958,0.2355,0.0394,0.0817,2016,788,-0.572,-0.583,-0.946,-0.501,-0.781,-0.637,11.745
Tunisia,102,4.805,1.0073,0.8684,0.6132,0.2897,0.0497,0.0867,2017,788,-0.559,-0.161,-0.944,-0.386,-0.724,-0.615,10.453
Mauritania,129,4.3746,8.2339,0.7908,57.0102,0.5515,-0.106,0.7462,2020,478,2.605,-0.236,4.162,0.168,-1.59,2.314,-7.997
Mauritania,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2019,478,-0.75,0.128,-0.956,-0.86,-0.41,-0.609,10.252
Mauritania,126,4.356,0.557,1.245,0.292,0.129,0.134,0.093,2018,478,-0.756,0.204,-0.974,-0.727,-0.255,-0.587,9.514
Mauritania,124,4.436,0.4541,0.8691,0.3587,0.2423,0.219,0.1746,2015,478,-0.801,-0.16,-0.968,-0.487,0.218,-0.225,8.474
Mauritania,130,4.201,0.6139,0.8414,0.2864,0.1268,0.2269,0.1795,2016,478,-0.731,-0.187,-0.974,-0.731,0.262,-0.203,8.474
Mauritania,123,4.292,0.6485,1.272,0.2853,0.0961,0.2019,0.137,2017,478,-0.716,0.23,-0.974,-0.796,0.123,-0.392,8.5
Sri Lanka,130,4.327,9.39,0.8254,67.2001,0.8376,0.0811,0.859,2020,144,3.111,-0.202,5.085,0.774,-0.549,2.815,-14.063
Sri Lanka,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,2019,144,-0.585,0.223,-0.925,-0.005,0.357,-0.791,7.243
Sri Lanka,116,4.471,0.918,1.314,0.672,0.585,0.307,0.05,2018,144,-0.598,0.27,-0.939,0.239,0.708,-0.778,6.301
Sri Lanka,132,4.271,0.8352,1.019,0.7081,0.5373,0.4083,0.0918,2015,144,-0.634,-0.015,-0.936,0.138,1.271,-0.592,5.551
Sri Lanka,117,4.415,0.9732,0.8478,0.6201,0.5082,0.4698,0.0796,2016,144,-0.574,-0.18,-0.944,0.076,1.613,-0.646,5.507
Sri Lanka,120,4.44,1.0099,1.26,0.6251,0.5612,0.4909,0.0737,2017,144,-0.558,0.218,-0.943,0.189,1.731,-0.673,4.5
Congo (Kinshasa),131,4.311,6.6943,0.6722,52.9,0.7008,0.0836,0.8094,2020,178,1.931,-0.35,3.79,0.484,-0.535,2.595,-8.881
Congo (Kinshasa),127,4.418,0.094,1.125,0.357,0.269,0.212,0.053,2019,178,-0.959,0.088,-0.968,-0.43,0.179,-0.765,9.176
Congo (Kinshasa),132,4.245,0.069,1.136,0.204,0.312,0.197,0.052,2018,178,-0.97,0.098,-0.982,-0.339,0.096,-0.769,9.022
Congo (Kinshasa),120,4.517,0.0,1.0012,0.0981,0.226,0.2483,0.0762,2015,178,-1.0,-0.032,-0.991,-0.521,0.381,-0.662,9.225
Congo (Kinshasa),125,4.272,0.0566,0.8068,0.188,0.156,0.2546,0.0608,2016,178,-0.975,-0.22,-0.983,-0.67,0.416,-0.73,9.542
Congo (Kinshasa),126,4.28,0.0921,1.229,0.1914,0.236,0.2465,0.0602,2017,178,-0.96,0.188,-0.983,-0.5,0.371,-0.733,8.642
Swaziland,132,4.3081,9.1627,0.7703,51.1882,0.6468,-0.1992,0.7083,2020,748,3.011,-0.255,3.635,0.37,-2.108,2.146,-7.024
Swaziland,135,4.212,0.811,1.149,0.0,0.313,0.074,0.135,2019,748,-0.645,0.111,-1.0,-0.337,-0.588,-0.4,8.977
Swaziland,101,4.867,0.7121,1.0728,0.0757,0.3066,0.1826,0.0306,2015,748,-0.688,0.037,-0.993,-0.351,0.016,-0.864,9.605
Myanmar,133,4.308,8.6805,0.7844,58.9617,0.8951,0.5607,0.6451,2020,104,2.8,-0.242,4.339,0.896,2.119,1.865,-15.32
Myanmar,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,2019,104,-0.689,0.142,-0.95,0.112,2.148,-0.236,3.482
Myanmar,130,4.308,0.682,1.174,0.429,0.58,0.598,0.178,2018,104,-0.701,0.135,-0.961,0.228,2.326,-0.209,2.945
Myanmar,129,4.307,0.2711,0.709,0.4825,0.4402,0.7959,0.1903,2015,104,-0.881,-0.315,-0.956,-0.068,3.427,-0.155,2.554
Myanmar,119,4.395,0.3411,0.6998,0.3988,0.4269,0.8197,0.2024,2016,104,-0.851,-0.323,-0.964,-0.096,3.56,-0.101,2.353
Myanmar,114,4.545,0.3671,1.1232,0.3975,0.5145,0.8381,0.1888,2017,104,-0.839,0.086,-0.964,0.09,3.662,-0.162,1.423
Comoros,134,4.2886,7.8336,0.6257,57.349,0.5476,0.09,0.7806,2020,174,2.43,-0.395,4.193,0.16,-0.499,2.467,-9.638
Comoros,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078,2019,174,-0.88,-0.268,-0.954,-0.699,0.53,-0.654,8.848
Comoros,140,3.956,0.2391,0.7927,0.3631,0.2292,0.1744,0.199,2015,174,-0.895,-0.234,-0.967,-0.515,-0.03,-0.116,8.551
Comoros,138,3.956,0.2751,0.6032,0.2998,0.1541,0.1827,0.1844,2016,174,-0.88,-0.417,-0.973,-0.674,0.016,-0.181,9.138
Togo,135,4.1872,7.3577,0.5513,54.7199,0.6498,0.0027,0.7577,2020,768,2.221,-0.467,3.955,0.376,-0.985,2.365,-8.254
Togo,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2019,768,-0.88,-0.447,-0.963,-0.379,-0.015,-0.623,9.597
Togo,139,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2018,768,-0.887,-0.542,-0.977,-0.081,-0.121,-0.551,9.264
Togo,158,2.839,0.2087,0.14,0.2844,0.3645,0.1668,0.1073,2015,768,-0.909,-0.865,-0.974,-0.228,-0.072,-0.523,8.791
Togo,155,3.303,0.2812,0.0,0.2481,0.3468,0.1752,0.1159,2016,768,-0.877,-1.0,-0.978,-0.265,-0.025,-0.485,9.353
Togo,150,3.495,0.3054,0.4319,0.2471,0.3804,0.1969,0.0957,2017,768,-0.866,-0.582,-0.978,-0.194,0.095,-0.575,8.662
Ethiopia,136,4.1862,7.5094,0.7433,58.6396,0.7408,0.0434,0.7537,2020,231,2.288,-0.281,4.309,0.569,-0.759,2.347,-9.935
Ethiopia,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019,231,-0.853,-0.001,-0.952,-0.271,0.163,-0.556,8.403
Ethiopia,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018,231,-0.865,-0.082,-0.965,-0.043,0.224,-0.352,7.822
Ethiopia,122,4.512,0.1907,0.6041,0.4406,0.4345,0.2432,0.1505,2015,231,-0.917,-0.416,-0.96,-0.08,0.353,-0.332,8.432
Ethiopia,115,4.508,0.2928,0.3793,0.3458,0.367,0.2952,0.1717,2016,231,-0.872,-0.633,-0.969,-0.223,0.642,-0.237,8.328
Ethiopia,119,4.46,0.3392,0.8647,0.3534,0.4088,0.3127,0.1655,2017,231,-0.851,-0.164,-0.968,-0.134,0.739,-0.265,7.198
Madagascar,137,4.1656,7.2817,0.6682,59.1054,0.5576,-0.0118,0.8175,2020,450,2.188,-0.354,4.352,0.181,-1.066,2.631,-9.054
Madagascar,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,2019,450,-0.88,-0.114,-0.95,-0.687,-0.06,-0.818,9.781
Madagascar,143,3.774,0.262,0.908,0.402,0.221,0.155,0.049,2018,450,-0.885,-0.122,-0.964,-0.532,-0.138,-0.782,9.479
Madagascar,147,3.681,0.2082,0.668,0.4672,0.1918,0.2133,0.0812,2015,450,-0.909,-0.354,-0.958,-0.594,0.187,-0.639,9.126
Madagascar,148,3.695,0.2795,0.4612,0.3711,0.1368,0.2204,0.0751,2016,450,-0.878,-0.554,-0.966,-0.71,0.226,-0.666,9.608
Madagascar,144,3.644,0.3058,0.913,0.3752,0.1892,0.2087,0.0672,2017,450,-0.866,-0.117,-0.966,-0.599,0.161,-0.702,8.792
Egypt,138,4.1514,9.3165,0.7354,61.7802,0.7084,-0.1969,0.7877,2020,818,3.079,-0.289,4.594,0.5,-2.095,2.498,-9.66
Egypt,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067,2019,818,-0.6,0.004,-0.942,-0.49,-0.577,-0.702,9.678
Egypt,122,4.419,0.885,1.025,0.553,0.312,0.092,0.107,2018,818,-0.613,-0.009,-0.95,-0.339,-0.488,-0.525,9.292
Egypt,135,4.194,0.8818,0.747,0.6171,0.1729,0.1129,0.0632,2015,818,-0.614,-0.278,-0.944,-0.634,-0.372,-0.719,10.129
Egypt,120,4.362,0.954,0.4981,0.5212,0.1885,0.1271,0.1039,2016,818,-0.582,-0.518,-0.953,-0.601,-0.293,-0.539,10.172
Egypt,104,4.735,0.9897,0.9975,0.5202,0.2821,0.1286,0.1144,2017,818,-0.567,-0.036,-0.953,-0.402,-0.285,-0.492,9.293
Sierra Leone,139,3.9264,7.2688,0.6361,50.8651,0.7153,0.0887,0.8613,2020,694,2.182,-0.385,3.606,0.515,-0.507,2.825,-9.8
Sierra Leone,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019,694,-0.883,-0.187,-0.978,-0.346,0.402,-0.8,9.027
Sierra Leone,113,4.571,0.256,0.813,0.0,0.355,0.238,0.053,2018,694,-0.888,-0.214,-1.0,-0.248,0.324,-0.765,9.223
Sierra Leone,123,4.507,0.3302,0.9557,0.0,0.4084,0.2149,0.0879,2015,694,-0.855,-0.076,-1.0,-0.135,0.195,-0.61,8.642
Sierra Leone,111,4.635,0.3648,0.628,0.0,0.3068,0.239,0.082,2016,694,-0.84,-0.393,-1.0,-0.35,0.329,-0.636,9.452
Sierra Leone,106,4.709,0.3684,0.9841,0.0056,0.3187,0.293,0.0711,2017,694,-0.839,-0.049,-0.999,-0.325,0.63,-0.684,8.486
Burundi,140,3.7753,6.4926,0.4903,53.4,0.6264,-0.0176,0.6069,2020,108,1.843,-0.526,3.835,0.327,-1.098,1.695,-6.351
Burundi,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2019,108,-0.98,-0.568,-0.966,-0.534,-0.021,-0.201,9.225
Burundi,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018,108,-0.96,-0.394,-0.987,-0.862,-0.171,-0.662,9.632
Burundi,157,2.905,0.0153,0.4159,0.224,0.1185,0.1973,0.1006,2015,108,-0.993,-0.598,-0.98,-0.749,0.098,-0.553,9.197
Burundi,157,2.905,0.0683,0.2344,0.1575,0.0432,0.2029,0.0942,2016,108,-0.97,-0.773,-0.986,-0.908,0.129,-0.582,9.722
Burundi,154,2.905,0.0916,0.6298,0.1516,0.0599,0.2044,0.0841,2017,108,-0.96,-0.391,-0.986,-0.873,0.137,-0.626,9.07
Zambia,141,3.7594,8.2247,0.6988,55.2994,0.8065,0.078,0.8013,2020,894,2.601,-0.324,4.007,0.708,-0.566,2.559,-11.216
Zambia,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019,894,-0.747,0.023,-0.961,-0.087,0.374,-0.614,7.46
Zambia,125,4.377,0.562,1.047,0.295,0.503,0.221,0.082,2018,894,-0.754,0.012,-0.973,0.065,0.229,-0.636,7.805
Zambia,85,5.129,0.4704,0.9161,0.2992,0.4883,0.1959,0.1247,2015,894,-0.794,-0.114,-0.973,0.034,0.09,-0.446,8.801
Zambia,106,4.795,0.612,0.6376,0.2357,0.4266,0.1787,0.1148,2016,894,-0.732,-0.384,-0.979,-0.096,-0.006,-0.49,9.273
Zambia,116,4.514,0.6364,1.0032,0.2578,0.4616,0.2496,0.0782,2017,894,-0.721,-0.03,-0.977,-0.022,0.388,-0.653,7.872
Haiti,142,3.7208,7.4113,0.5932,55.5986,0.5378,0.4005,0.6848,2020,332,2.245,-0.427,4.034,0.139,1.228,2.041,-11.713
Haiti,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11,2019,332,-0.859,-0.335,-0.959,-0.945,1.331,-0.511,7.394
Haiti,148,3.582,0.315,0.714,0.289,0.025,0.392,0.104,2018,332,-0.862,-0.31,-0.974,-0.947,1.181,-0.538,7.665
Haiti,119,4.518,0.2667,0.743,0.3885,0.2442,0.4619,0.1718,2015,332,-0.883,-0.282,-0.965,-0.483,1.569,-0.237,6.653
Haiti,136,4.028,0.341,0.2956,0.2749,0.1207,0.4796,0.1448,2016,332,-0.851,-0.714,-0.975,-0.744,1.668,-0.357,7.316
Haiti,145,3.603,0.3686,0.6404,0.2773,0.0304,0.4892,0.0999,2017,332,-0.839,-0.381,-0.975,-0.936,1.721,-0.556,6.88
Lesotho,143,3.6528,7.9605,0.7805,48.0036,0.7381,-0.1457,0.8574,2020,426,2.485,-0.245,3.346,0.563,-1.81,2.808,-8.259
Lesotho,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093,2019,426,-0.786,0.13,-0.985,-0.24,-0.405,-0.587,8.59
Lesotho,141,3.808,0.472,1.215,0.079,0.423,0.116,0.112,2018,426,-0.793,0.175,-0.993,-0.104,-0.355,-0.503,8.096
Lesotho,97,4.898,0.3754,1.041,0.0761,0.3177,0.1639,0.125,2015,426,-0.836,0.006,-0.993,-0.327,-0.088,-0.445,9.37
Lesotho,139,3.808,0.521,1.1901,0.0,0.3907,0.1575,0.1191,2017,426,-0.772,0.15,-1.0,-0.172,-0.124,-0.471,7.79
India,144,3.5733,8.8498,0.5922,60.2152,0.8814,0.0576,0.772,2020,356,2.875,-0.428,4.452,0.867,-0.68,2.429,-12.285
India,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019,356,-0.669,-0.26,-0.947,0.055,0.113,-0.623,7.9
India,133,4.19,0.721,0.747,0.485,0.539,0.172,0.093,2018,356,-0.684,-0.278,-0.956,0.142,-0.043,-0.587,8.2
India,117,4.565,0.645,0.3817,0.5153,0.3979,0.2648,0.0849,2015,356,-0.718,-0.631,-0.953,-0.157,0.473,-0.623,8.913
India,118,4.404,0.7404,0.2925,0.4509,0.4028,0.2503,0.0872,2016,356,-0.676,-0.717,-0.959,-0.147,0.392,-0.613,8.937
India,122,4.315,0.7922,0.7544,0.4554,0.47,0.2315,0.0922,2017,356,-0.653,-0.271,-0.959,-0.005,0.288,-0.591,7.967
Malawi,145,3.538,7.0622,0.544,57.5929,0.8032,0.0214,0.7317,2020,454,2.092,-0.474,4.215,0.701,-0.881,2.25,-9.634
Malawi,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,2019,454,-0.916,-0.459,-0.955,-0.062,0.213,-0.605,8.05
Malawi,147,3.587,0.186,0.541,0.306,0.531,0.21,0.08,2018,454,-0.919,-0.477,-0.972,0.125,0.168,-0.645,8.12
Malawi,131,4.292,0.016,0.4113,0.2256,0.4305,0.3313,0.0698,2015,454,-0.993,-0.602,-0.98,-0.088,0.843,-0.69,8.475
Malawi,132,4.156,0.0871,0.147,0.2936,0.4143,0.3097,0.0756,2016,454,-0.962,-0.858,-0.973,-0.122,0.723,-0.664,8.916
Malawi,136,3.97,0.2334,0.5126,0.3151,0.4669,0.2872,0.0727,2017,454,-0.898,-0.504,-0.971,-0.011,0.598,-0.677,8.075
Yemen,146,3.5274,7.7597,0.818,56.7273,0.5999,-0.1577,0.8003,2020,887,2.397,-0.209,4.136,0.271,-1.877,2.554,-8.593
Yemen,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077,2019,887,-0.874,0.124,-0.958,-0.697,-0.399,-0.658,9.15
Yemen,152,3.355,0.442,1.073,0.343,0.244,0.083,0.064,2018,887,-0.806,0.037,-0.969,-0.483,-0.538,-0.716,9.147
Yemen,136,4.077,0.5465,0.6809,0.4006,0.3557,0.0913,0.0785,2015,887,-0.761,-0.342,-0.964,-0.247,-0.492,-0.651,9.839
Yemen,147,3.724,0.5794,0.4749,0.3105,0.2287,0.0982,0.0589,2016,887,-0.746,-0.541,-0.972,-0.516,-0.454,-0.738,10.336
Yemen,146,3.593,0.5917,0.9354,0.3101,0.2495,0.1041,0.0568,2017,887,-0.741,-0.096,-0.972,-0.472,-0.421,-0.748,9.343
Botswana,147,3.4789,9.7112,0.7791,58.9245,0.8213,-0.2504,0.7779,2020,72,3.252,-0.247,4.335,0.74,-2.393,2.455,-10.091
Botswana,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2019,72,-0.544,0.107,-0.951,-0.036,-0.861,-0.556,8.223
Botswana,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092,2018,72,-0.555,0.135,-0.962,0.18,-0.766,-0.591,7.855
Botswana,128,4.332,0.9936,1.1046,0.0478,0.495,0.1046,0.1247,2015,72,-0.565,0.068,-0.996,0.048,-0.418,-0.446,8.18
Botswana,137,3.974,1.0943,0.8919,0.3475,0.4409,0.1242,0.1077,2016,72,-0.521,-0.138,-0.969,-0.066,-0.309,-0.522,8.182
Botswana,142,3.766,1.1221,1.2216,0.3418,0.5052,0.0993,0.0986,2017,72,-0.509,0.181,-0.969,0.07,-0.448,-0.562,7.494
Tanzania,148,3.4762,7.9677,0.6889,57.4961,0.8215,0.1097,0.6198,2020,834,2.488,-0.334,4.206,0.74,-0.39,1.753,-10.629
Tanzania,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147,2019,834,-0.792,-0.144,-0.955,-0.117,0.535,-0.347,6.264
Tanzania,153,3.303,0.455,0.991,0.381,0.481,0.27,0.097,2018,834,-0.801,-0.042,-0.966,0.019,0.502,-0.569,6.398
Tanzania,146,3.781,0.2852,1.0027,0.3822,0.3288,0.3438,0.0575,2015,834,-0.875,-0.031,-0.965,-0.304,0.912,-0.745,7.128
Tanzania,149,3.666,0.4716,0.7762,0.357,0.3176,0.3147,0.051,2016,834,-0.794,-0.25,-0.968,-0.327,0.751,-0.774,7.603
Tanzania,153,3.349,0.5111,1.042,0.3645,0.39,0.3543,0.066,2017,834,-0.776,0.007,-0.967,-0.174,0.971,-0.707,6.092
Central African Republic,149,3.4759,6.6252,0.3195,45.2,0.6409,0.0824,0.8918,2020,140,1.901,-0.691,3.093,0.357,-0.542,2.961,-8.322
Central African Republic,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035,2019,140,-0.989,-1.0,-0.99,-0.523,0.307,-0.845,9.816
Central African Republic,155,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018,140,-0.989,-1.0,-0.999,-0.354,0.213,-0.831,9.683
Central African Republic,148,3.678,0.0785,0.0,0.067,0.4888,0.2384,0.0829,2015,140,-0.966,-1.0,-0.994,0.035,0.326,-0.632,9.063
Central African Republic,155,2.693,0.0,0.0,0.0188,0.2708,0.2809,0.0566,2017,140,-1.0,-1.0,-0.998,-0.426,0.563,-0.749,8.71
Rwanda,150,3.3123,7.6001,0.5408,61.0988,0.9006,0.0555,0.1835,2020,646,2.327,-0.477,4.532,0.908,-0.691,-0.185,-7.378
Rwanda,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411,2019,646,-0.843,-0.313,-0.944,0.176,0.207,0.825,4.821
Rwanda,151,3.408,0.332,0.896,0.4,0.636,0.2,0.444,2018,646,-0.855,-0.134,-0.964,0.347,0.113,0.972,4.276
Rwanda,154,3.465,0.2221,0.7737,0.4286,0.592,0.2263,0.5519,2015,646,-0.903,-0.252,-0.961,0.254,0.259,1.451,3.718
Rwanda,152,3.515,0.3285,0.6159,0.3186,0.5432,0.2355,0.5052,2016,646,-0.856,-0.405,-0.971,0.151,0.31,1.244,4.393
Rwanda,151,3.471,0.3687,0.9457,0.3264,0.5818,0.2528,0.4552,2017,646,-0.839,-0.086,-0.97,0.232,0.406,1.022,3.863
Zimbabwe,151,3.2992,7.8657,0.7631,55.6173,0.7115,-0.0721,0.8102,2020,716,2.444,-0.262,4.036,0.507,-1.401,2.598,-9.904
Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,2019,716,-0.84,0.077,-0.961,-0.235,-0.16,-0.605,8.203
Zimbabwe,144,3.692,0.357,1.094,0.248,0.406,0.132,0.099,2018,716,-0.844,0.058,-0.978,-0.14,-0.266,-0.56,8.242
Zimbabwe,115,4.61,0.271,1.0328,0.3348,0.2586,0.1899,0.0808,2015,716,-0.881,-0.002,-0.97,-0.452,0.056,-0.641,9.427
Zimbabwe,131,4.193,0.3504,0.7148,0.1595,0.2543,0.185,0.0858,2016,716,-0.847,-0.309,-0.986,-0.461,0.029,-0.619,9.515
Zimbabwe,138,3.875,0.3758,1.0831,0.1968,0.3364,0.1891,0.0954,2017,716,-0.835,0.047,-0.982,-0.287,0.052,-0.576,8.177
South Sudan,152,2.8166,7.4254,0.5537,51.0,0.4513,0.0165,0.7634,2020,728,2.251,-0.465,3.618,-0.044,-0.908,2.39,-8.587
South Sudan,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091,2019,728,-0.866,-0.444,-0.973,-0.979,0.124,-0.596,9.076
South Sudan,154,3.254,0.337,0.608,0.177,0.112,0.224,0.106,2018,728,-0.852,-0.412,-0.984,-0.763,0.246,-0.529,8.744
South Sudan,143,3.832,0.3939,0.1852,0.1578,0.1966,0.259,0.1301,2016,728,-0.828,-0.821,-0.986,-0.584,0.441,-0.422,9.165
South Sudan,147,3.591,0.3972,0.6013,0.1635,0.1471,0.2857,0.1168,2017,728,-0.826,-0.419,-0.985,-0.688,0.589,-0.481,8.274
Afghanistan,153,2.5669,7.4629,0.4704,52.59,0.3966,-0.0964,0.9337,2020,4,2.267,-0.545,3.762,-0.16,-1.536,3.147,-8.991
Afghanistan,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025,2019,4,-0.847,-0.5,-0.967,-1.0,-0.121,-0.889,10.41
Afghanistan,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2018,4,-0.855,-0.481,-0.977,-0.82,0.062,-0.84,10.15
Afghanistan,153,3.575,0.3198,0.3028,0.3034,0.2341,0.3651,0.0972,2015,4,-0.86,-0.707,-0.973,-0.504,1.031,-0.568,7.877
Afghanistan,154,3.36,0.3823,0.1104,0.1734,0.1643,0.3127,0.0711,2016,4,-0.833,-0.893,-0.984,-0.652,0.739,-0.684,8.872
Afghanistan,141,3.794,0.4015,0.5815,0.1807,0.1062,0.3119,0.0612,2017,4,-0.824,-0.438,-0.984,-0.775,0.735,-0.728,8.817
Qatar,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2019,634,-0.263,0.269,-0.921,0.176,0.224,-0.258,7.662
Qatar,32,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018,634,-0.278,0.26,-0.932,0.385,0.424,-0.241,7.011
Qatar,28,6.611,1.6904,1.0786,0.7973,0.6404,0.3257,0.5221,2015,634,-0.26,0.043,-0.928,0.356,0.812,1.319,4.374
Qatar,36,6.375,1.8243,0.8796,0.7172,0.5668,0.3239,0.4805,2016,634,-0.201,-0.15,-0.935,0.201,0.802,1.134,4.957
Qatar,35,6.375,1.8708,1.2743,0.7101,0.6041,0.3305,0.4393,2017,634,-0.181,0.232,-0.936,0.28,0.838,0.951,4.402
